datetime,Flow_metersCubedPerSecond,Water_Temperature_celsius,Salinity_practicalSalinityUnits
1995-01-01,5.326274,0.487500011920929,0.5
1995-01-02,5.279789,0.428177863359451,0.5
1995-01-03,5.232633,0.441571086645126,0.5
1995-01-04,5.190151,0.581389130403598,0.5
1995-01-05,5.24443,0.665676139295101,0.5
1995-01-06,5.297507,0.740437964598338,0.5
1995-01-07,5.210604,0.74457873404026,0.5
1995-01-08,5.153491,0.784393837054571,0.5
1995-01-09,5.191968,0.837054987748464,0.5
1995-01-10,5.121855,0.854307413101196,0.5
1995-01-11,5.080963,0.849362312505643,0.5
1995-01-12,4.987766,0.849447507411242,0.5
1995-01-13,5.02067,0.866590763131777,0.5
1995-01-14,5.130408,0.880157897869746,0.5
1995-01-15,5.017816,0.883431080107888,0.5
1995-01-16,4.937935,0.896803746620814,0.5
1995-01-17,4.831148,0.909701188405355,0.5
1995-01-18,4.904465,0.915776173273722,0.5
1995-01-19,5.348336,0.950731972853343,0.5
1995-01-20,5.161512,0.949845468004545,0.5
1995-01-21,5.137636,0.959884618719419,0.5
1995-01-22,5.109813,0.956711121524374,0.5
1995-01-23,5.010224,0.958605252206326,0.5
1995-01-24,4.917166,0.970814496278763,0.5
1995-01-25,4.825883,0.999537774672111,0.5
1995-01-26,4.740954,1.02815808231632,0.5
1995-01-27,4.658599,1.04977821558714,0.5
1995-01-28,4.577803,1.06891601718962,0.5
1995-01-29,4.507304,1.08956261351705,0.5
1995-01-30,4.433556,1.10262793426712,0.5
1995-01-31,4.359052,1.12950580442945,0.5
1995-02-01,4.283704,1.13678575803836,0.5
1995-02-02,4.216444,1.15233197063208,0.5
1995-02-03,4.184206,1.16156122212609,0.5
1995-02-04,4.118518,1.16799981147051,0.5
1995-02-05,4.06557,1.18532845936716,0.5
1995-02-06,4.012139,1.23565019915501,0.5
1995-02-07,3.963927,1.26427684786419,0.5
1995-02-08,3.912586,1.26620883432527,0.5
1995-02-09,3.860977,1.30822417978197,0.5
1995-02-10,3.793336,1.2992404269365,0.5
1995-02-11,3.752937,1.31928466788183,0.5
1995-02-12,3.709586,1.32786023958276,0.5
1995-02-13,3.663314,1.35536924629317,0.5
1995-02-14,3.626003,1.35562797849222,0.5
1995-02-15,3.587365,1.36129262189691,0.5
1995-02-16,3.536378,1.37670745203892,0.5
1995-02-17,3.478934,1.3914732762302,0.5
1995-02-18,3.348915,1.41439532426496,0.5
1995-02-19,3.375239,1.42844825082769,0.5
1995-02-20,3.265242,1.45665622518087,0.5
1995-02-21,3.469929,1.47407651258012,0.5
1995-02-22,3.395373,1.49251842102967,0.5
1995-02-23,3.43595,1.51331753921113,0.5
1995-02-24,3.696675,1.53090730713059,0.5
1995-02-25,3.822901,1.55320658907294,0.5
1995-02-26,3.887358,1.55439270396406,0.5
1995-02-27,3.937808,1.56438696632783,0.5
1995-02-28,3.984619,1.57827197744822,0.5
1995-03-01,4.009101,1.58349675607557,0.5
1995-03-02,4.021498,1.60265858036776,0.5
1995-03-03,4.012744,1.62626193587979,0.5
1995-03-04,4.149806,1.6457188706845,0.5
1995-03-05,4.279774,1.66632752493024,0.5
1995-03-06,4.506211,1.67516246748467,0.5
1995-03-07,4.498193,1.70075028762221,0.5
1995-03-08,4.467359,1.71513838817676,0.5
1995-03-09,4.434476,1.73079298933347,0.5
1995-03-10,4.215529,1.74837555922568,0.5
1995-03-11,4.394311,1.78067003935575,0.5
1995-03-12,4.404028,1.8374096006155,0.5
1995-03-13,4.393566,1.8688241156439,0.5
1995-03-14,4.309315,1.8989810248216,0.5
1995-03-15,4.267967,1.97357249756654,0.5
1995-03-16,4.204178,2.03384837508202,0.5
1995-03-17,4.21274,2.15837223331134,0.5
1995-03-18,4.192247,2.23725545406342,0.5
1995-03-19,4.152955,2.30861314137777,0.5
1995-03-20,4.82181,2.42357603708903,0.5
1995-03-21,4.897147,2.51168862978617,0.5
1995-03-22,4.905815,2.64744599660238,0.5
1995-03-23,4.917424,2.79134595394135,0.5
1995-03-24,4.862754,2.93652510643005,0.5
1995-03-25,4.840766,3.06627043088277,0.5
1995-03-26,5.043792,3.16640623410543,0.5
