wind_speed,swr,mixing/coef_mix_hyp,mixing/coef_mix_KH,meteorology/ch,par_id
1.1022,1.1337,0.78936,0.12572,0.0021975,p0001
1.1088,0.90473,0.77157,0.28968,0.0014528,p0002
1.0846,1.0293,0.16507,0.76638,0.0017271,p0003
0.81166,1.0686,0.4243,0.42615,0.0027348,p0004
0.93476,0.86831,0.10824,0.16129,0.0019228,p0005
1.0701,0.89284,0.71787,0.82668,0.0023234,p0006
0.95623,0.99571,0.6065,0.85323,0.0028475,p0007
0.91424,0.97679,0.48388,0.1408,0.0016083,p0008
0.94058,1.1784,0.79416,0.66571,0.0025377,p0009
0.89967,1.1353,0.35766,0.27771,0.001445,p0010
0.96964,0.99968,0.8713,0.60651,0.001888,p0011
0.89627,0.91876,0.72764,0.79797,0.0027992,p0012
0.85293,1.0272,0.21758,0.81251,0.0011221,p0013
0.92416,0.81664,0.15518,0.34793,0.0021793,p0014
1.0689,0.97362,0.27637,0.83797,0.0029364,p0015
0.81536,0.84239,0.7273,0.19405,0.0021847,p0016
0.89247,1.0479,0.47866,0.1009,0.001432,p0017
1.1347,1.0741,0.53514,0.34109,0.0020568,p0018
1.0827,0.95972,0.6352,0.76899,0.0020196,p0019
1.0139,0.96644,0.42316,0.37838,0.002648,p0020
0.97491,1.0206,0.48848,0.31359,0.0028036,p0021
0.95814,0.83493,0.54345,0.69227,0.0025756,p0022
1.1465,0.84363,0.66166,0.50455,0.0022229,p0023
0.87678,0.82927,0.48771,0.61393,0.0013978,p0024
1.0646,1.0847,0.64861,0.3653,0.0012459,p0025
1.0848,1.0866,0.76159,0.15905,0.0011574,p0026
0.97545,0.92028,0.79329,0.12454,0.00294,p0027
1.0486,0.91917,0.82609,0.3304,0.002004,p0028
0.81006,1.0251,0.41303,0.65989,0.0016225,p0029
0.92006,1.1629,0.79277,0.13552,0.0011691,p0030
1.1506,0.86532,0.20534,0.70851,0.0022386,p0031
1.0097,1.11,0.64435,0.73886,0.001103,p0032
0.97327,0.97274,0.2049,0.16091,0.0018513,p0033
1.1482,0.94086,0.62373,0.25372,0.0010154,p0034
1.1231,0.95053,0.79631,0.6755,0.0019502,p0035
0.99034,0.90809,0.53679,0.24039,0.0027413,p0036
0.85674,1.0599,0.27312,0.36037,0.0028391,p0037
1.014,0.86773,0.50158,0.78404,0.0018459,p0038
0.81413,1.1568,0.63636,0.56321,0.0018956,p0039
1.0983,1.0347,0.84492,0.37793,0.0027094,p0040
1.095,1.0274,0.51916,0.34636,0.002807,p0041
1.0693,1.1726,0.50933,0.5967,0.001009,p0042
1.0011,1.0406,0.32162,0.63956,0.0018224,p0043
0.8244,1.1934,0.68359,0.62986,0.0010304,p0044
0.85815,1.0757,0.64798,0.37681,0.0027878,p0045
1.1046,1.1672,0.85768,0.11631,0.0029745,p0046
0.95699,1.0226,0.47777,0.35198,0.001116,p0047
0.85721,0.8257,0.15313,0.71699,0.0014477,p0048
0.99112,0.92945,0.60394,0.1561,0.0010254,p0049
0.86407,1.1346,0.55273,0.84943,0.001235,p0050
0.83177,1.0528,0.72843,0.2477,0.0028084,p0051
0.8019,0.92377,0.18391,0.58186,0.0023156,p0052
1.1548,0.93531,0.76044,0.24711,0.0027554,p0053
0.89798,0.85931,0.60701,0.41444,0.0019215,p0054
1.1859,1.1882,0.81493,0.7245,0.0027725,p0055
0.86518,1.1854,0.5187,0.8068,0.0018117,p0056
1.1765,0.83794,0.64918,0.10625,0.0010318,p0057
1.0812,0.85038,0.40531,0.74415,0.0028444,p0058
1.0839,1.1775,0.82429,0.35872,0.0021537,p0059
1.0148,1.1969,0.6088,0.25998,0.0012473,p0060
0.87931,1.1536,0.32008,0.16622,0.0016746,p0061
0.94272,1.1363,0.75099,0.18217,0.0018255,p0062
1.1667,1.0914,0.16657,0.38091,0.0028012,p0063
1.0065,1.0691,0.33088,0.11812,0.0023857,p0064
1.0454,1.0928,0.36751,0.63117,0.00123,p0065
0.84194,1.189,0.86437,0.48014,0.001147,p0066
0.90439,0.99097,0.60547,0.59393,0.0028131,p0067
1.1222,0.97403,0.35532,0.84544,0.0016947,p0068
1.0916,0.82309,0.50546,0.35484,0.0020354,p0069
1.1576,0.95362,0.14421,0.74585,0.0028414,p0070
0.8863,1.157,0.6848,0.12223,0.0021118,p0071
0.865,1.0569,0.69456,0.88694,0.0027437,p0072
0.85853,1.0626,0.58086,0.12072,0.0014274,p0073
0.90513,1.0728,0.6602,0.85673,0.0022027,p0074
0.87267,0.93823,0.40129,0.65482,0.001497,p0075
0.97296,1.1249,0.2413,0.26273,0.0017141,p0076
1.0538,0.99258,0.1064,0.52458,0.0013205,p0077
1.1429,0.87676,0.3563,0.72776,0.0027854,p0078
1.1316,0.96918,0.30324,0.527,0.0029786,p0079
0.90217,1.121,0.67977,0.19954,0.001128,p0080
0.90227,1.1823,0.84668,0.37678,0.001512,p0081
0.97346,0.96236,0.87673,0.76225,0.0016598,p0082
0.93776,0.82407,0.72546,0.45032,0.0018644,p0083
1.0311,0.88448,0.85219,0.62487,0.0021779,p0084
1.0752,0.88477,0.66783,0.13417,0.0021491,p0085
1.0151,1.1073,0.61319,0.75117,0.0018945,p0086
0.87154,1.1861,0.38477,0.71738,0.0026987,p0087
0.92054,1.192,0.3999,0.79744,0.0017375,p0088
0.83937,0.83393,0.62422,0.80739,0.0026547,p0089
1.0653,1.0944,0.79407,0.81021,0.0029224,p0090
0.98319,1.1473,0.62202,0.11488,0.0024175,p0091
0.98713,1.0234,0.3137,0.51912,0.001151,p0092
0.98827,0.94326,0.13571,0.44611,0.0018785,p0093
0.84931,1.1628,0.52282,0.5568,0.001729,p0094
1.0105,1.0593,0.37127,0.24264,0.0017684,p0095
0.91207,1.1541,0.54786,0.88758,0.0022441,p0096
0.84074,0.93237,0.47734,0.7088,0.0025183,p0097
1.1481,0.8724,0.59032,0.6325,0.0017193,p0098
1.1523,0.91559,0.2439,0.82632,0.0019735,p0099
1.0157,0.98139,0.56833,0.82334,0.0023299,p0100
1.1262,0.93269,0.42398,0.73032,0.0019145,p0101
0.81863,0.80534,0.64896,0.35801,0.0026775,p0102
1.0673,0.8456,0.71479,0.80274,0.0025616,p0103
1.0583,0.86037,0.22805,0.1135,0.001167,p0104
1.005,0.99968,0.20685,0.65607,0.0029881,p0105
1.1573,1.0609,0.38394,0.39646,0.002179,p0106
0.99931,0.8317,0.69076,0.52432,0.0016191,p0107
0.89268,1.0442,0.50175,0.10867,0.0026808,p0108
0.9269,0.87017,0.25356,0.21158,0.0010937,p0109
1.1621,1.0111,0.10151,0.47163,0.0025134,p0110
1.1227,0.98212,0.66648,0.20125,0.0021547,p0111
0.88836,1.0554,0.82356,0.70056,0.0017876,p0112
0.80864,1.1903,0.37451,0.86393,0.0023371,p0113
1.1218,1.054,0.42332,0.46902,0.0015535,p0114
1.1527,1.0901,0.61528,0.32952,0.0026163,p0115
1.0001,1.195,0.5087,0.15013,0.0027926,p0116
1.0709,1.0541,0.87465,0.64196,0.001659,p0117
