wind_speed,swr,turb_param/k_min,g2/constant_value,par_id
0.94322,0.86447,4.3192e-14,2.0959,p00001
0.86449,1.0255,3.352e-07,1.2711,p00002
1.0427,0.96354,1.2336e-06,2.2691,p00003
1.1969,0.81065,1.4888e-06,1.3814,p00004
1.0247,0.98618,7.8365e-09,2.8378,p00005
1.1814,1.0371,2.272e-05,3.3144,p00006
0.87195,0.81645,6.3173e-10,2.2607,p00007
1.0522,0.94503,0.00012091,3.49,p00008
1.1387,1.1598,5.3218e-06,2.3628,p00009
1.0151,1.1732,0.00040739,0.96025,p00010
1.1659,0.88071,1.7264e-08,3.2135,p00011
0.91689,0.98409,5.1208e-08,1.2256,p00012
0.87005,1.0942,1.6788e-12,2.756,p00013
0.90238,1.1361,1.9568e-08,3.1357,p00014
1.1312,1.1145,4.9775e-07,2.8592,p00015
1.0142,0.95375,3.4105e-06,2.0548,p00016
1.0931,1.0592,0.00013385,3.4478,p00017
1.0058,1.0714,1.7949e-11,2.4894,p00018
0.93079,1.0886,2.1918e-14,1.4508,p00019
0.94944,0.91181,2.3972e-08,2.1578,p00020
0.90585,1.1593,2.9265e-10,1.755,p00021
0.97729,1.1693,1.2401e-11,2.2166,p00022
0.96059,1.1726,1.9085e-12,2.2355,p00023
1.1517,1.076,3.3434e-05,1.8244,p00024
0.85056,0.92389,5.682e-06,1.9077,p00025
0.95197,1.05,5.6101e-11,2.7496,p00026
0.82344,0.83242,6.217e-14,1.7589,p00027
1.0609,1.1226,1.8999e-11,1.6983,p00028
0.95983,1.0575,3.1224e-11,3.2078,p00029
1.1418,1.0111,2.6931e-06,1.6257,p00030
0.87694,1.1241,7.4972e-06,3.4948,p00031
1.0861,1.0961,8.6213e-15,0.77482,p00032
1.0797,1.1122,0.0002817,1.3325,p00033
0.94912,1.1335,2.9885e-08,2.4659,p00034
0.87155,1.1105,2.9833e-06,0.50945,p00035
1.0818,1.0498,1.0997e-12,2.858,p00036
0.8795,0.86464,4.7866e-07,3.0502,p00037
1.1244,0.98181,2.8642e-07,1.7456,p00038
1.1182,1.0948,6.2372e-14,1.7387,p00039
1.1578,1.1517,4.7437e-09,1.2783,p00040
0.88548,0.98674,1.5656e-13,1.2567,p00041
0.82907,0.85333,2.6884e-08,2.0984,p00042
0.83873,0.84196,1.1667e-06,2.4933,p00043
1.0825,0.94082,1.9214e-09,2.1922,p00044
1.0279,0.91259,1.6773e-10,1.4626,p00045
1.0258,0.93253,1.3429e-13,2.0736,p00046
0.93708,0.9901,1.8629e-13,2.9334,p00047
0.95761,1.0532,2.066e-06,1.1106,p00048
1.0857,1.0053,1.0931e-11,2.1426,p00049
0.82941,1.1691,3.7357e-09,3.2961,p00050
1.0195,0.85923,3.7362e-08,1.0505,p00051
1.1071,0.9201,4.035e-13,1.434,p00052
1.0102,0.9638,0.00013986,1.873,p00053
1.0146,0.92357,7.7463e-06,1.0118,p00054
1.1702,0.83373,8.6074e-14,2.8924,p00055
1.0448,1.0196,6.9502e-10,1.8624,p00056
0.83996,1.1839,5.2278e-12,0.598,p00057
1.0178,1.0211,9.1774e-11,3.1295,p00058
1.0298,0.97804,1.3364e-12,3.1575,p00059
1.114,1.1778,5.4192e-09,1.6527,p00060
1.0776,0.90544,0.00044483,1.5652,p00061
1.054,1.1312,6.9346e-12,2.9135,p00062
0.82882,0.8066,3.7741e-11,0.51772,p00063
1.1776,1.0027,0.00014219,0.62862,p00064
0.93479,0.83943,6.7107e-05,2.456,p00065
1.0365,0.8696,0.00025274,2.2315,p00066
1.0952,0.89972,1.517e-13,1.3352,p00067
0.96781,0.91707,0.00034479,1.4441,p00068
0.83447,0.89168,2.864e-09,1.7086,p00069
0.94659,0.99807,3.646e-09,3.0552,p00070
1.147,0.91478,1.3923e-07,3.2109,p00071
0.9268,0.9224,7.4013e-11,1.4044,p00072
1.0941,0.84571,0.00020616,1.6796,p00073
1.1087,1.0491,1.7158e-05,2.5426,p00074
0.90468,0.83521,9.7478e-11,2.159,p00075
0.87256,1.0302,1.0452e-12,2.4724,p00076
1.1849,1.0367,1.0499e-14,2.0844,p00077
1.1916,1.059,6.4711e-05,2.7363,p00078
0.87388,0.90769,1.1069e-14,1.6005,p00079
1.0071,1.1972,3.4519e-07,2.5195,p00080
0.88967,0.99691,1.1256e-12,0.58663,p00081
0.93323,1.178,5.4066e-06,1.898,p00082
1.0524,1.0363,7.9989e-06,1.8272,p00083
1.0176,0.81501,3.9334e-13,3.2407,p00084
1.0648,1.1661,2.0719e-09,2.0524,p00085
1.0392,0.97877,1.0353e-11,3.2009,p00086
0.94245,1.0945,1.2994e-05,2.0445,p00087
0.95884,1.1246,3.633e-12,3.3228,p00088
0.82095,0.80103,2.7274e-11,0.9377,p00089
1.1801,0.87131,5.3042e-08,2.0952,p00090
0.80382,1.1581,1.7347e-10,1.7968,p00091
1.0969,1.1549,1.537e-12,1.8125,p00092
1.002,0.95838,5.8356e-14,1.0481,p00093
0.87039,1.086,3.88e-08,3.2852,p00094
0.90711,0.85762,4.299e-09,2.2496,p00095
1.0085,0.89255,0.00023627,1.3432,p00096
1.0961,1.0286,1.0602e-09,0.69608,p00097
1.1645,1.1189,1.262e-13,1.624,p00098
1.0154,1.1062,3.5901e-05,3.4862,p00099
0.82361,1.1392,0.00016971,3.1228,p00100
1.0318,0.97047,7.7583e-07,2.9574,p00101
1.1989,0.81012,3.7887e-13,3.2737,p00102
1.0092,1.1494,7.6555e-14,2.3422,p00103
1.0615,0.83913,2.6394e-07,2.9263,p00104
1.1792,1.1963,4.681e-09,1.2403,p00105
0.98045,0.94782,6.3957e-09,1.3256,p00106
1.0909,1.1835,2.7979e-07,2.1987,p00107
0.84075,0.9807,4.5123e-08,2.7877,p00108
1.0972,1.0934,2.2718e-06,2.4328,p00109
1.0143,1.1621,9.5356e-07,2.3375,p00110
0.92256,0.9074,1.4552e-14,2.6138,p00111
0.89078,1.036,3.1039e-09,2.1558,p00112
1.1455,0.91518,3.2692e-14,0.84351,p00113
1.0952,1.1031,3.3408e-14,3.0396,p00114
0.99533,1.1853,2.2167e-10,2.0762,p00115
0.88785,0.96955,1.1497e-08,0.64761,p00116
1.0856,1.1298,7.6885e-08,2.4747,p00117
0.82571,1.0299,1.1182e-08,1.3213,p00118
0.94508,1.1348,2.9024e-10,3.1272,p00119
1.1686,1.0056,9.7023e-07,0.76186,p00120
0.95082,1.0809,3.4402e-14,1.6752,p00121
0.83135,1.1174,5.385e-12,2.6434,p00122
0.86791,0.80607,4.2682e-10,1.0438,p00123
1.0893,1.1683,3.523e-05,1.488,p00124
1.1271,0.99578,1.6215e-07,2.6065,p00125
0.86376,0.8944,2.8215e-06,1.31,p00126
1.0246,1.0917,2.3823e-06,1.882,p00127
0.89092,1.1044,4.009e-11,3.2341,p00128
0.99124,0.82189,1.4882e-10,1.5212,p00129
